source,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,overfit_gap
XGBoost Regressor,0.9132295187379946,0.732119590394837,0.2945682964305652,0.5230303463329733,0.2221185935976499,0.40788351850903387,0.18110992834315764
Stacking Ensemble,0.832276553765631,0.6987943471941871,0.4095405306369187,0.5546103491612508,0.31741848765122105,0.4340611341625334,0.13348220657144394
Random Forest Regressor,0.9397891766939904,0.6867098829777063,0.2453789381874687,0.5656265123704389,0.18471313493839148,0.4423853306082033,0.2530792937162841
Neural Network Regressor,0.7360295179618316,0.6483683240303929,0.5137805777159822,0.5992394622433563,0.40265753911752195,0.47024575827239246,0.08766119393143867
Lasso Regression,0.5885790953081951,0.5940046715643031,0.6414210042490073,0.6438977811096439,0.508067193783275,0.5118276919394369,-0.005425576256108067
Ridge Regression,0.5886125934112045,0.5938870906279181,0.6413948913023828,0.6439910144770009,0.5080058022995498,0.5119132403828135,-0.005274497216713581
Linear Regression,0.5886125943004819,0.5938866653512511,0.6413948906091458,0.6439913516668244,0.5080049779158974,0.5119130291152836,-0.005274071050769269
Decision Tree Regressor,0.7192096499892277,0.547964102589594,0.5298965465171219,0.6794271113518684,0.4110480550653094,0.5308511204793117,0.1712455473996336
