model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,overfit_gap
Stacking Ensemble,0.9343180356404248,0.8244189447384622,0.20913990202534388,0.3445481015141627,0.15387656049452325,0.2576627715890107,0.10989909090196259
Random Forest Regressor,0.9627824072770004,0.821110038345449,0.15743017323425212,0.3477795324802865,0.10951482075033667,0.25761805346003724,0.14167236893155133
XGBoost Regressor,0.8512798903314965,0.8174102946560784,0.3147014053542825,0.3513574590593197,0.240243924932562,0.26726361012675104,0.03386959567541814
Neural Network Regressor,0.8133868787234224,0.7467137335978806,0.35252094225672786,0.4138251250581654,0.27083484138467445,0.31398670262854306,0.06667314512554179
Decision Tree Regressor,0.7979347789523936,0.7108890340811131,0.3668255851333615,0.442123211683841,0.2773950631809151,0.33500003054785776,0.08704574487128047
Lasso Regression,0.633807453061798,0.6433760521389813,0.49381989670356136,0.4910393379262748,0.38480752599686824,0.3844445110836655,0.009568599077183326
Ridge Regression,0.6338398486593735,0.6432431683652524,0.4937980530797511,0.4911308139521987,0.3848256892476373,0.3845502850904878,0.009403319705878932
Linear Regression,0.6338398492768591,0.6432426786446908,0.4937980526633852,0.491131151040033,0.3848256444518962,0.38455049466598046,0.009402829367831655
Support Vector Regressor,0.6317798812475904,0.642036747485925,0.49518512542425064,0.49196052532389695,0.38351079837620633,0.38314246763407117,0.01025686623833455
